order_id,order_date,customer_id,total_price,order_item_id,product_id,quantity,price_at_purchase,name
6550,2024-09-18,2434,419.09,1,1032,1,342.92,James Natalie
7324,2023-11-27,2160,955.86,2,1695,1,955.86,James Abigail
11952,2024-03-05,2898,979.86,3,1962,1,909.45,James Evelyn
8938,2024-08-31,8497,984.91,4,1958,1,984.91,John Dennis
4238,2023-12-05,6295,649.18,5,1880,1,649.18,Mary Terry
14235,2024-03-17,2727,727.98,6,672,1,695.76,James Wayne
10944,2024-02-22,2936,54.83,7,1,1,54.83,James Jane
11075,2024-08-14,2994,320.24,8,827,1,320.24,James Natalie
13842,2024-05-20,5953,555.05,9,707,1,555.05,Mary Williams
1126,2023-11-17,4825,308.21,10,1461,1,308.21,Mary Terry
9699,2024-02-22,6732,981.61,11,566,1,901.42,Mary Lopez
3682,2024-03-14,7300,355.18,12,496,1,350.74,Mary Martin
8310,2024-08-09,7873,957.72,13,204,1,957.72,Mary Patrick
6084,2024-08-23,5627,934.52,14,791,1,934.52,Mary Dennis
3161,2024-11-01,2086,488.16,15,1970,1,488.16,James Virginia
57,2024-05-26,975,388.08,16,250,1,388.08,James Terry
10706,2023-11-29,5075,361.40,17,164,1,321.96,Mary Henry
11179,2024-02-06,7024,24.32,18,554,1,24.32,Mary Julia
9585,2024-02-22,941,477.31,19,1516,1,477.31,James Walter
7661,2024-08-20,5801,184.74,20,904,1,53.10,Mary Gerald
1860,2024-09-30,4276,42.33,21,900,1,42.33,Mary Garcia
9492,2024-09-27,4374,43.54,22,1733,1,43.54,Mary Judith
10454,2024-07-08,7945,487.57,23,1883,1,487.57,Mary Henry
2853,2024-03-29,1888,44.45,24,716,1,44.45,James Amy
51,2024-05-16,3177,735.84,25,1188,1,735.84,James Dennis
8481,2023-12-23,425,249.45,26,1331,1,186.87,James Jones
11997,2024-04-25,5410,620.96,27,1249,1,620.96,Mary Martin
6792,2024-05-21,7971,812.89,28,781,1,812.89,Mary Gerald
8684,2024-07-12,5894,26.87,29,458,1,26.87,Mary Wilson
12854,2024-06-21,2835,827.86,30,205,1,827.86,James Henry
